unit,status,plant_type,renewable
bio_N,new,bio,yes
bio_X,existing,bio,yes
col_N,new,col,no
col_Nccs,new,col,no
col_X1,existing,col,no
col_X1bio,existing,col,no
col_X1ccs,existing,col,no
col_X2,existing,col,no
col_X2bio,existing,col,no
col_X2ccs,existing,col,no
col_X3,existing,col,no
col_X3bio,existing,col,no
col_X3ccs,existing,col,no
fc_N,new,fc,yes
geo_N_1,new,geo,yes
geo_N_10,new,geo,yes
geo_N_2,new,geo,yes
geo_N_3,new,geo,yes
geo_N_4,new,geo,yes
geo_N_5,new,geo,yes
geo_N_6,new,geo,yes
geo_N_7,new,geo,yes
geo_N_8,new,geo,yes
geo_N_9,new,geo,yes
geo_X,existing,geo,yes
hyd_X,existing,hyd,yes
lfg_N_hi,new,lfg,no
lfg_N_lo,new,lfg,no
lfg_N_vl,new,lfg,no
lfg_X,existing,lfg,no
msw_X,existing,msw,no
ngcc_N,new,ngcc,no
ngcc_Nccs,new,ngcc,no
ngcc_X1,existing,ngcc,no
ngcc_X2,existing,ngcc,no
ngcc_X3,existing,ngcc,no
ngtb_N,new,ngtb,no
ngtb_X1,existing,ngtb,no
ngtb_X2,existing,ngtb,no
ngtb_X3,existing,ngtb,no
nuc_N,new,nuc,yes
nuc_X,existing,nuc,yes
oth_X,existing,oth,no
ps_X,existing,ps,yes
slr_X,existing,slr,yes
slrCSP_N,new,slrCSP,yes
slrPV_N,new,slrPV,yes
stog_X1,existing,stog,no
stog_X2,existing,stog,no
stog_X3,existing,stog,no
wnd_Ndeep_3,new,wnd,yes
wnd_Ndeep_4,new,wnd,yes
wnd_Ndeep_5,new,wnd,yes
wnd_Ndeep_6,new,wnd,yes
wnd_Ndeep_7,new,wnd,yes
wnd_Nonsh_3,new,wnd,yes
wnd_Nonsh_4,new,wnd,yes
wnd_Nonsh_5,new,wnd,yes
wnd_Nonsh_6,new,wnd,yes
wnd_Nonsh_7,new,wnd,yes
wnd_Nshal_3,new,wnd,yes
wnd_Nshal_4,new,wnd,yes
wnd_Nshal_5,new,wnd,yes
wnd_Nshal_6,new,wnd,yes
wnd_Nshal_7,new,wnd,yes
wnd_X,existing,wnd,yes
